"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 11:04:31 GMT 2022","Tue Jul 19 11:04:33 GMT 2022","2547","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 11:04:35 GMT 2022","Tue Jul 19 11:04:37 GMT 2022","1998","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"passed","Tue Jul 19 11:04:33 GMT 2022","Tue Jul 19 11:04:35 GMT 2022","2248","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"passed","Tue Jul 19 11:04:28 GMT 2022","Tue Jul 19 11:04:31 GMT 2022","2732","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
