"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:19:34 GMT 2022","Tue Jul 19 12:19:37 GMT 2022","3007","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"passed","Tue Jul 19 12:19:40 GMT 2022","Tue Jul 19 12:19:43 GMT 2022","2666","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 12:19:37 GMT 2022","Tue Jul 19 12:19:40 GMT 2022","2645","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"passed","Tue Jul 19 12:19:43 GMT 2022","Tue Jul 19 12:19:45 GMT 2022","2442","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"passed","Tue Jul 19 12:19:45 GMT 2022","Tue Jul 19 12:19:48 GMT 2022","2270","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
