"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 10:36:37 GMT 2022","Tue Jul 19 10:36:39 GMT 2022","2136","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 10:36:34 GMT 2022","Tue Jul 19 10:36:37 GMT 2022","2761","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"passed","Tue Jul 19 10:36:39 GMT 2022","Tue Jul 19 10:36:42 GMT 2022","2481","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
